ID,Airport,City,Country
1298,Pamiers-Les Pujols Airport,Pamiers,France
1299,Marmande-Virazeil Airport,Marmande,France
1300,Rochefort-Saint-Agnant (BA 721) Airport,Rochefort,France
1301,Pontivy Airport,Pontivy,France
1302,Aubigny-sur-Nère Airport,Aubigny-sur-nere,France
1303,Guiscriff Scaer Airport,Guiscriff-scaer,France
1305,Ancenis Airport,Ancenis,France
1306,Brienne-le-Château Airport,Brienne-le Chateau,France
1307,Colmar-Houssen Airport,Colmar,France
1308,Beaune-Challanges Airport,Beaune,France
1309,Dole-Tavaux Airport,Dole,France
1310,Joigny Airport,Joigny,France
1311,Verdun-Le Rozelier Airfield,Verdun,France
1312,Aubenas-Ardèche Méridional Airport,Aubenas-vals-lanas,France
1313,Le Puy-Loudes Airport,Le Puy,France
1314,Saint-Flour-Coltines Airport,St.-flour,France
1315,Bourg-Ceyzériat Airport,Bourg,France
1316,Villefranche-Tarare Airport,Vilefrance,France
1317,Moulins-Montbeugny Airport,Moulins,France
1318,Saint-Affrique-Belmont Airport,St.-afrique-belmont,France
1319,Cassagnes-Bégonhès Airport,Cassagnes-beghones,France
1320,Metz-Nancy-Lorraine Airport,Metz,France
1321,Bastia-Poretta Airport,Bastia,France
1322,Calvi-Sainte-Catherine Airport,Calvi,France
1323,Figari Sud-Corse Airport,Figari,France
1324,Ajaccio-Napoléon Bonaparte Airport,Ajaccio,France
1325,Propriano Airport,Propriano,France
1326,Solenzara (BA 126) Air Base,Solenzara,France
1327,Corte Airport,Corte,France
1328,Auxerre-Branches Airport,Auxerre,France
1329,Chambéry-Savoie Airport,Chambery,France
1330,Clermont-Ferrand Auvergne Airport,Clermont-Ferrand,France
1331,Bourges Airport,Bourges,France
1332,Chambéry-Challes-les-Eaux Airport,Chambery,France
1333,Chalon-Champforgeuil Airport,Chalon,France
1334,Annemasse Airport,Annemasse,France
1335,Lyon Saint-Exupéry Airport,Lyon,France
1336,Mâcon-Charnay Airport,Macon,France
1337,Saint-Yan Airport,St.-yan,France
1338,Roanne-Renaison Airport,Roanne,France
1339,Annecy-Haute-Savoie-Mont Blanc Airport,Annecy,France
1340,Grenoble-Isère Airport,Grenoble,France
1341,Montluçon-Domérat Airport,Montlucon,France
1342,Valence-Chabeuil Airport,Valence,France
1343,Vichy-Charmeil Airport,Vichy,France
1344,Aurillac Airport,Aurillac,France
1345,"Châteauroux-Déols \Marcel Dassault\"" Airport""",Chateauroux,France
1346,Lyon-Bron Airport,Lyon,France
1347,Aix-en-Provence (BA 114) Airport,Aix-les-milles,France
1348,Le Luc-Le Cannet Airport,Le Luc,France
1349,Cannes-Mandelieu Airport,Cannes,France
1350,Saint-Étienne-Bouthéon Airport,St-Etienne,France
1351,Istres Le Tubé/Istres Air Base (BA 125) Airport,Istres,France
1352,Carcassonne Airport,Carcassonne,France
1353,Marseille Provence Airport,Marseille,France
1354,Nice-Côte d'Azur Airport,Nice,France
1355,Orange-Caritat (BA 115) Air Base,Orange,France
1356,Perpignan-Rivesaltes (Llabanère) Airport,Perpignan,France
1357,Le Castellet Airport,Le Castellet,France
1358,Alès-Deaux Airport,Ales,France
1359,Montpellier-Méditerranée Airport,Montpellier,France
1360,Béziers-Vias Airport,Beziers,France
1361,Avignon-Caumont Airport,Avignon,France
1362,Salon-de-Provence (BA 701) Air Base,Salon,France
1363,Lézignan-Corbières Airport,Lezignan-corbieres,France
1364,Mende-Brenoux Airport,Mende,France
1365,Carpentras Airport,Carpentras,France
1366,Avord (BA 702) Air Base,Avord,France
1367,Paris Beauvais Tillé Airport,Beauvais,France
1368,Châteaudun (BA 279) Air Base,Chateaudun,France
1369,Saumur-Saint-Florent Airport,Saumur,France
1370,Évreux-Fauville (BA 105) Air Base,Evreux,France
1371,Le Havre Octeville Airport,Le Havre,France
1372,Abbeville,Abbeville,France
1373,Orléans-Bricy (BA 123) Air Base,Orleans,France
1374,Châlons-Vatry Air Base,Chalons,France
1375,Rouen Airport,Rouen,France
1376,Tours-Val-de-Loire Airport,Tours,France
1377,Cholet Le Pontreau Airport,Cholet,France
1378,Laval-Entrammes Airport,Laval,France
1379,Orléans-Saint-Denis-de-l'Hôtel Airport,Orleans,France
1380,Paris-Le Bourget Airport,Paris,France
1381,Creil Air Base,Creil,France
1382,Charles de Gaulle International Airport,Paris,France
1383,Coulommiers-Voisins Airport,Coulommiers,France
1384,Melun-Villaroche Air Base,Melun,France
1385,Toussus-le-Noble Airport,Toussous-le-noble,France
1386,Paris-Orly Airport,Paris,France
1387,Pontoise - Cormeilles-en-Vexin Airport,Pontoise,France
1388,Villacoublay-Vélizy (BA 107) Air Base,Villacoublay,France
1389,Reims-Prunay Airport,Reims,France
1390,Troyes-Barberey Airport,Troyes,France
1391,Lunéville-Croismare Airport,Luneville,France
1392,Étain-Rouvres Air Base,Etain,France
1393,Autun-Bellevue Airport,Autun,France
1394,Nevers-Fourchambault Airport,Nevers,France
1395,Cambrai-Épinoy (BA 103) Air Base,Cambrai,France
1396,Maubeuge-Élesmes Airport,Maubeuge,France
1397,Besançon-La Vèze Airport,Besancon-la-veze,France
1398,Phalsbourg-Bourscheid Air Base,Phalsbourg,France
1399,Lille-Lesquin Airport,Lille,France
1400,Merville-Calonne Airport,Merville,France
1401,Charleville-Mézières Airport,Charleville,France
1402,Vesoul-Frotey Airport,Vesoul-frotey,France
1403,Brest Bretagne Airport,Brest,France
1404,Cherbourg-Maupertus Airport,Cherbourg,France
1405,Dinard-Pleurtuit-Saint-Malo Airport,Dinard,France
1406,La Baule-Escoublac Airport,La Baule,France
1407,Granville Airport,Granville,France
1408,Deauville-Saint-Gatien Airport,Deauville,France
1409,Lorient South Brittany (Bretagne Sud) Airport,Lorient,France
1410,La Roche-sur-Yon Airport,La Roche-sur-yon,France
1411,Landivisiau Air Base,Landivisiau,France
1412,Caen-Carpiquet Airport,Caen,France
1413,Lanvéoc-Poulmic Air Base,Lanvedoc,France
1414,Le Mans-Arnage Airport,Le Mans,France
1415,Rennes-Saint-Jacques Airport,Rennes,France
1416,Lannion-Côte de Granit Airport,Lannion,France
1417,Quimper-Cornouaille Airport,Quimper,France
1418,Nantes Atlantique Airport,Nantes,France
1419,Saint-Brieuc-Armor Airport,St.-brieuc Armor,France
1420,Morlaix-Ploujean Airport,Morlaix,France
1421,Vannes-Meucon Airport,Vannes,France
1422,Saint-Nazaire-Montoir Airport,St.-nazaire,France
1423,EuroAirport Basel-Mulhouse-Freiburg Airport,Mulhouse,France
1424,Colmar-Meyenheim Air Base,Colmar,France
1425,Dijon-Bourgogne Airport,Dijon,France
1426,Metz-Frescaty (BA 128) Air Base,Metz,France
1427,Épinal-Mirecourt Airport,Epinal,France
1428,Haguenau Airport,Haguenau,France
1429,Saint-Dizier-Robinson (BA 113) Air Base,St.-dizier,France
1430,Montbéliard-Courcelles Airfield,Montbeliard,France
1431,Nancy-Essey Airport,Nancy,France
1432,Nancy-Ochey (BA 133) Air Base,Nancy,France
1433,Pontarlier Airport,Pontarlier,France
1434,Reims-Champagne (BA 112) Air Base,Reims,France
1435,Strasbourg Airport,Strasbourg,France
1436,Luxeuil-Saint-Sauveur (BA 116) Air Base,Luxeuil,France
1437,Cuers-Pierrefeu Airport,Cuers,France
1438,Toulon-Hyères Airport,Hyeres,France
1439,Nîmes-Arles-Camargue Airport,Nimes,France
1440,Miquelon Airport,Miquelon,Saint Pierre and Miquelon
1441,St Pierre Airport,St.-pierre,Saint Pierre and Miquelon
1442,Ambérieu Air Base (BA 278),Amberieu,France
1443,Damblain Airport,Damblain,France
1444,Andravida Air Base,Andravida,Greece
1445,Agrinion Air Base,Agrinion,Greece
1446,Dimokritos Airport,Alexandroupolis,Greece
1447,Alexandria Airport,Alexandria,Greece
1448,Nea Anchialos Airport,Nea Anghialos,Greece
1449,Elefsis Airport,Elefsis,Greece
1450,Chios Island National Airport,Chios,Greece
1451,Ioannina Airport,Ioannina,Greece
1452,Heraklion International Nikos Kazantzakis Airport,Heraklion,Greece
1453,Kastoria National Airport,Kastoria,Greece
1454,Kithira Airport,Kithira,Greece
1455,Kefallinia Airport,Keffallinia,Greece
1456,Kalamata Airport,Kalamata,Greece
1457,Amigdhaleon Airport,Kavala,Greece
1458,Kos Airport,Kos,Greece
1459,Karpathos Airport,Karpathos,Greece
1460,Ioannis Kapodistrias International Airport,Kerkyra/corfu,Greece
1461,Kasos Airport,Kasos,Greece
1462,Alexander the Great International Airport,Kavala,Greece
1463,Filippos Airport,Kozani,Greece
1464,Leros Airport,Leros,Greece
1465,Limnos Airport,Limnos,Greece
1466,Larisa Airport,Larissa,Greece
1467,Megara Airport,Megara,Greece
1468,Mikonos Airport,Mykonos,Greece
1469,Mytilene International Airport,Mytilini,Greece
1470,Aktion National Airport,Preveza,Greece
1471,Maritsa Airport,Rhodos,Greece
1472,Diagoras Airport,Rhodos,Greece
1473,Araxos Airport,Patras,Greece
1474,Chania International Airport,Chania,Greece
1475,Skiathos Island National Airport,Skiathos,Greece
1476,Samos Airport,Samos,Greece
1478,Sparti Airport,Sparti,Greece
1479,Santorini Airport,Thira,Greece
1480,Sitia Airport,Sitia,Greece
1481,Stefanovikion Air Base,Stefanovikion,Greece
1482,Skiros Airport,Skiros,Greece
1483,Tanagra Air Base,Tanagra,Greece
1484,Kasteli Airport,Kasteli,Greece
1485,Tripolis Airport,Tripolis,Greece
1486,Thessaloniki Macedonia International Airport,Thessaloniki,Greece
1487,Tatoi Airport,Dekelia,Greece
1488,Dionysios Solomos Airport,Zakynthos,Greece
1489,Budapest Ferenc Liszt International Airport,Budapest,Hungary
1490,Debrecen International Airport,Debrecen,Hungary
1491,Kecskemét Airport,Kecskemet,Hungary
1492,Nyíregyháza Airport,Nyirregyhaza,Hungary
1493,Őcsény Airport,Ocseny,Hungary
1496,Szentkirályszabadja Airport,Azentkilyszabadja,Hungary
1498,Szolnok Airport,Szolnok,Hungary
1499,Amendola Air Base,Amendola,Italy
1500,Crotone Airport,Crotone,Italy
1501,Bari Karol Wojtyła Airport,Bari,Italy
1502,"Foggia \Gino Lisa\"" Airport""",Foggia,Italy
1503,"Taranto-Grottaglie \Marcello Arlotta\"" Airport""",Grottaglie,Italy
1504,Lecce Galatina Air Base,Lecce,Italy
1505,Pescara International Airport,Pescara,Italy
1506,Brindisi – Salento Airport,Brindisi,Italy
1507,Gioia Del Colle Air Base,Gioia Del Colle,Italy
1508,Lamezia Terme Airport,Lamezia,Italy
1509,Catania-Fontanarossa Airport,Catania,Italy
1510,Lampedusa Airport,Lampedusa,Italy
1511,Pantelleria Airport,Pantelleria,Italy
1512,Falcone–Borsellino Airport,Palermo,Italy
1513,Palermo-Boccadifalco Airport,Palermo,Italy
1514,Reggio Calabria Airport,Reggio Calabria,Italy
1515,Vincenzo Florio Airport Trapani-Birgi,Trapani,Italy
1516,Sigonella Navy Air Base,Sigonella,Italy
1517,Alghero-Fertilia Airport,Alghero,Italy
1518,Decimomannu Air Base,Decimomannu,Italy
1519,Cagliari Elmas Airport,Cagliari,Italy
1520,Olbia Costa Smeralda Airport,Olbia,Italy
1521,Tortolì Airport,Tortoli,Italy
1522,Torino-Aeritalia Airport,Turin,Italy
1523,Milano-Bresso Airport,Milano,Italy
1524,Malpensa International Airport,Milano,Italy
1525,Il Caravaggio International Airport,Bergamo,Italy
1526,Turin Airport,Torino,Italy
1527,Villanova D'Albenga International Airport,Albenga,Italy
1528,Genoa Cristoforo Colombo Airport,Genoa,Italy
1529,Milano Linate Airport,Milan,Italy
1530,Cameri Air Base [MIL],Cameri,Italy
1531,Parma Airport,Parma,Italy
1532,Piacenza San Damiano Air Base,Piacenza,Italy
1534,Cuneo International Airport,Cuneo,Italy
1535,Aviano Air Base,Aviano,Italy
1536,Bolzano Airport,Bolzano,Italy
1537,Cervia Air Base,Cervia,Italy
1538,Bologna Guglielmo Marconi Airport,Bologna,Italy
1539,Treviso-Sant'Angelo Airport,Treviso,Italy
1540,Rivolto Air Base,Rivolto,Italy
1541,Forlì Airport,Forli,Italy
1542,Ghedi Air Base,Ghedi,Italy
1543,Verona-Boscomantico Airport,Verona,Italy
1544,Brescia Airport,Brescia,Italy
1545,Trieste–Friuli Venezia Giulia Airport,Ronchi De Legionari,Italy
1546,Federico Fellini International Airport,Rimini,Italy
1547,Istrana Air Base,Treviso,Italy
1548,Vicenza Airport,Vicenza,Italy
1549,Padova Airport,Padova,Italy
1550,Verona Villafranca Airport,Villafranca,Italy
1551,Venice Marco Polo Airport,Venice,Italy
1552,Siena-Ampugnano Airport,Siena,Italy
1553,Ciampino–G. B. Pastine International Airport,Rome,Italy
1554,Pratica Di Mare Air Base,Pratica Di Mare,Italy
1555,Leonardo da Vinci–Fiumicino Airport,Rome,Italy
1556,Guidonia Air Base,Guidonia,Italy
1558,Marina Di Campo Airport,Marina Di Campo,Italy
1559,Latina Air Base,Latina,Italy
1560,Grazzanise Airport,Grazzanise,Italy
1561,Naples International Airport,Naples,Italy
1562,Pisa International Airport,Pisa,Italy
1563,Peretola Airport,Florence,Italy
1564,Grosseto Air Base,Grosseto,Italy
1565,Urbe Airport,Rome,Italy
1566,Viterbo Airport,Viterbo,Italy
1567,Perugia San Francesco d'Assisi – Umbria International Airport,Perugia,Italy
1568,Cerklje Airport,Cerklje,Slovenia
1569,Ljubljana Jože Pučnik Airport,Ljubljana,Slovenia
1570,Maribor Airport,Maribor,Slovenia
1571,Portoroz Airport,Portoroz,Slovenia
1572,Slovenj Gradec Airport,Slovenj Gradec,Slovenia
1573,České Budějovice Airport,Ceske Budejovice,Czech Republic
1574,Čáslav Air Base,Caslav,Czech Republic
1575,Hradec Králové Airport,Hradec Kralove,Czech Republic
1576,Hořovice Airport,Horovice,Czech Republic
1577,Kbely Air Base,Praha,Czech Republic
1578,Kunovice Airport,Kunovice,Czech Republic
1579,Karlovy Vary International Airport,Karlovy Vary,Czech Republic
1580,Plzeň-Líně Airport,Line,Czech Republic
1581,Mnichovo Hradiště Airport,Mnichovo Hradiste,Czech Republic
1582,Ostrava Leos Janáček Airport,Ostrava,Czech Republic
1583,Náměšť Air Base,Namest,Czech Republic
1584,Pardubice Airport,Pardubice,Czech Republic
1585,Pribram Airport,Pribram,Czech Republic
1586,Přerov Air Base,Prerov,Czech Republic
1587,Václav Havel Airport Prague,Prague,Czech Republic
1588,Brno-Tuřany Airport,Brno,Czech Republic
1589,Vodochody Airport,Vodochody,Czech Republic
1590,Ben Gurion International Airport,Tel-aviv,Israel
1591,Beersheba (Teyman) Airport,Beer-sheba,Israel
1592,Tel Nof Air Base,Tel-nof,Israel
1593,Ein Shemer Airfield,Eyn-shemer,Israel
1594,Eilat Airport,Elat,Israel
1595,Ein Yahav Airfield,Eyn-yahav,Israel
1596,Haifa International Airport,Haifa,Israel
1597,Hatzor Air Base,Haztor,Israel
1598,Ben Ya'akov Airport,Rosh Pina,Israel
1599,Megiddo Airport,Megido Airstrip,Israel
1600,Bar Yehuda Airfield,Metzada,Israel
1601,Nevatim Air Base,Nevatim,Israel
1602,Ovda International Airport,Ovda,Israel
1603,Ramat David Air Base,Ramat David,Israel
1604,Ramon Air Base,Ramon,Israel
1605,Sde Dov Airport,Tel-aviv,Israel
1606,Malta International Airport,Malta,Malta
1607,Wiener Neustadt East Airport,Wiener Neustadt Ost,Austria
1608,Wels Airport,Wels,Austria
1609,Graz Airport,Graz,Austria
1610,Innsbruck Airport,Innsbruck,Austria
1611,Linz Hörsching Airport,Linz,Austria
1612,Salzburg Airport,Salzburg,Austria
1613,Vienna International Airport,Vienna,Austria
1614,Klagenfurt,Klagenfurt,Austria
1615,Hinterstoisser Air Base,Zeltweg,Austria
1616,Alverca Airport,Alverca,Portugal
1617,Santa Maria Airport,Santa Maria (island),Portugal
1618,Bragança Airport,Braganca,Portugal
1619,Beja International Airport,Beja (madeira),Portugal
1620,Braga Municipal Aerodrome,Braga,Portugal
1621,Coimbra Airport,Coimba,Portugal
1622,Cascais Airport,Cascais,Portugal
1623,Covilhã Airport,Covilha,Portugal
1624,Évora Airport,Evora,Portugal
1625,Flores Airport,Flores,Portugal
1626,Faro Airport,Faro,Portugal
1627,Graciosa Airport,Graciosa Island,Portugal
1628,Horta Airport,Horta,Portugal
1629,Lajes Field,Lajes (terceira Island),Portugal
1630,Monte Real Air Base,Monte Real,Portugal
1631,Montijo Airport,Montijo,Portugal
1632,Ovar Airport,Ovar,Portugal
1633,João Paulo II Airport,Ponta Delgada,Portugal
1634,Pico Airport,Pico,Portugal
1635,Portimão Airport,Portimao,Portugal
1636,Francisco de Sá Carneiro Airport,Porto,Portugal
1637,Porto Santo Airport,Porto Santo,Portugal
1638,Lisbon Portela Airport,Lisbon,Portugal
1639,São Jorge Airport,Sao Jorge Island,Portugal
1640,Sintra Airport,Sintra,Portugal
1641,Tancos Airbase,Tancos,Portugal
1642,Vila Real Airport,Vila Real,Portugal
1643,Viseu Airport,Viseu,Portugal
1645,Mostar International Airport,Mostar,Bosnia and Herzegovina
1646,Sarajevo International Airport,Sarajevo,Bosnia and Herzegovina
1647,Arad International Airport,Arad,Romania
1648,Bacău Airport,Bacau,Romania
1649,Tautii Magheraus Airport,Baia Mare,Romania
1650,Băneasa International Airport,Bucharest,Romania
1651,Mihail Kogălniceanu International Airport,Constanta,Romania
1652,Cluj-Napoca International Airport,Cluj-napoca,Romania
1653,Caransebeş Airport,Caransebes,Romania
1654,Craiova Airport,Craiova,Romania
1655,Iaşi Airport,Iasi,Romania
1656,Oradea International Airport,Oradea,Romania
1657,Henri Coandă International Airport,Bucharest,Romania
1658,Sibiu International Airport,Sibiu,Romania
1659,Satu Mare Airport,Satu Mare,Romania
1660,Suceava Stefan cel Mare Airport,Suceava,Romania
1661,Tulcea Airport,Tulcea,Romania
1662,Transilvania Târgu Mureş International Airport,Tirgu Mures,Romania
1663,Timişoara Traian Vuia Airport,Timisoara,Romania
1664,Les Eplatures Airport,Les Eplatures,Switzerland
1665,Geneva Cointrin International Airport,Geneva,Switzerland
1666,Saanen Airport,Saanen,Switzerland
1667,Sion Airport,Sion,Switzerland
1668,Alpnach Air Base,Alpnach,Switzerland
1669,Dübendorf Air Base,Dubendorf,Switzerland
1670,Emmen Air Base,Emmen,Switzerland
1671,Mollis Airport,Mollis,Switzerland
1672,Meiringen Airport,Meiringen,Switzerland
1673,Payerne Air Base,Payerne,Switzerland
1674,Buochs,Buochs,Switzerland
1675,Lugano Airport,Lugano,Switzerland
1676,Bern Belp Airport,Bern,Switzerland
1677,Grenchen Airport,Grenchen,Switzerland
1678,Zürich Airport,Zurich,Switzerland
1679,St Gallen Altenrhein Airport,Altenrhein,Switzerland
1680,Samedan Airport,Samedan,Switzerland
1681,Güvercinlik Airport,Ankara,Turkey
1682,Esenboğa International Airport,Ankara,Turkey
1683,Etimesgut Air Base,Ankara,Turkey
1684,Akıncı Air Base,Ankara,Turkey
1685,Adana Airport,Adana,Turkey
1686,İncirlik Air Base,Adana,Turkey
1687,Afyon Airport,Afyon,Turkey
1688,Antalya International Airport,Antalya,Turkey
1689,Gaziantep International Airport,Gaziantep,Turkey
1690,İskenderun Airport,Iskenderun,Turkey
1691,Konya Airport,Konya,Turkey
1692,Malatya Tulga Airport,Malatya,Turkey
1693,Amasya Merzifon Airport,Merzifon,Turkey
1694,Sivas Nuri Demirağ Airport,Sivas,Turkey
1695,Malatya Erhaç Airport,Malatya,Turkey
1696,Kayseri Erkilet Airport,Kayseri,Turkey
1697,Sivrihisar Airport,Sivrihisar,Turkey
1698,Tokat Airport,Tokat,Turkey
1699,Çardak Airport,Denizli,Turkey
1701,Atatürk International Airport,Istanbul,Turkey
1702,Balıkesir Merkez Airport,Balikesir,Turkey
1703,Bandırma Airport,Bandirma,Turkey
1705,Eskişehir Air Base,Eskisehir,Turkey
1706,Adnan Menderes International Airport,Izmir,Turkey
1707,Gaziemir Airport,Izmir,Turkey
1708,Çiğli Airport,Izmir,Turkey
1709,Isparta Airport,Isparta,Turkey
1710,Kütahya Airport,Kutahya,Turkey
1712,Yalova Airport,Yalova,Turkey
1713,Cengiz Topel Airport,Topel,Turkey
1715,Dalaman International Airport,Dalaman,Turkey
1716,Akhisar Airport,Akhisar,Turkey
1718,Imsık Airport,Bodrum,Turkey
1719,Samandıra Air Base,Istanbul,Turkey
1721,Elazığ Airport,Elazig,Turkey
1722,Diyarbakir Airport,Diyabakir,Turkey
1723,Erzincan Airport,Erzincan,Turkey
1724,Erzurum International Airport,Erzurum,Turkey
1726,Trabzon International Airport,Trabzon,Turkey
1728,Van Ferit Melen Airport,Van,Turkey
1729,Batman Airport,Batman,Turkey
1731,Siirt Airport,Siirt,Turkey
1732,Kaklıç Airport,Izmir,Turkey
1733,Selçuk Efes Airport,Izmir,Turkey
1734,Balti International Airport,Saltsy,Moldova
1735,Chişinău International Airport,Chisinau,Moldova
1736,Ohrid St. Paul the Apostle Airport,Ohrid,Macedonia
1737,Skopje Alexander the Great Airport,Skopje,Macedonia
1738,Gibraltar Airport,Gibraltar,Gibraltar
1739,Belgrade Nikola Tesla Airport,Belgrade,Serbia
1740,Nis Airport,Nis,Serbia
1741,Podgorica Airport,Podgorica,Montenegro
1742,Priština International Airport,Pristina,Serbia
1743,Tivat Airport,Tivat,Montenegro
1744,Vršac International Airport,Vrsac,Serbia
1745,M. R. Štefánik Airport,Bratislava,Slovakia
1746,Košice Airport,Kosice,Slovakia
1747,Kuchyňa Air Base,Malacky,Slovakia
1748,Piešťany Airport,Piestany,Slovakia
1749,Sliač Airport,Sliac,Slovakia
1750,Trenčín Airport,Trencin,Slovakia
1751,Poprad-Tatry Airport,Poprad,Slovakia
1753,North Caicos Airport,North Caicos,Turks and Caicos Islands
1754,Providenciales Airport,Providenciales,Turks and Caicos Islands
1755,South Caicos Airport,South Caicos,Turks and Caicos Islands
1756,Arroyo Barril Airport,Samana,Dominican Republic
1757,Maria Montez International Airport,Barahona,Dominican Republic
1758,Cabo Rojo Airport,Cabo Rojo,Dominican Republic
1759,Casa De Campo International Airport,La Romana,Dominican Republic
1760,Punta Cana International Airport,Punta Cana,Dominican Republic
1761,Gregorio Luperon International Airport,Puerto Plata,Dominican Republic
1762,Las Américas International Airport,Santo Domingo,Dominican Republic
1763,San Isidro Air Base,San Isidoro,Dominican Republic
1764,Cibao International Airport,Santiago,Dominican Republic
1765,Bananera Airport,Bananera,Guatemala
1766,Coban Airport,Coban,Guatemala
1767,La Aurora Airport,Guatemala City,Guatemala
1769,Retalhuleu Airport,Retalhuleu,Guatemala
1770,San José Airport,San Jose,Guatemala
1771,Goloson International Airport,La Ceiba,Honduras
1772,Ramón Villeda Morales International Airport,San Pedro Sula,Honduras
1773,La Laguna Airport,Guanaja,Honduras
1774,Juan Manuel Galvez International Airport,Roatan,Honduras
1775,Tela Airport,Tela,Honduras
1776,Toncontín International Airport,Tegucigalpa,Honduras
1777,Trujillo Airport,Trujillo,Honduras
1778,Boscobel Aerodrome,Ocho Rios,Jamaica
1779,Norman Manley International Airport,Kingston,Jamaica
1780,Sangster International Airport,Montego Bay,Jamaica
1781,Ken Jones Airport,Port Antonio,Jamaica
1782,Tinson Pen Airport,Kingston,Jamaica
1783,General Juan N Alvarez International Airport,Acapulco,Mexico
1784,Del Norte International Airport,Monterrey,Mexico
1785,Jesús Terán Paredo International Airport,Aguascalientes,Mexico
1786,Bahías de Huatulco International Airport,Huatulco,Mexico
1787,General Mariano Matamoros Airport,Cuernavaca,Mexico
1788,Ciudad Acuña New International Airport,Ciudad Acuna,Mexico
1789,Ciudad del Carmen International Airport,Ciudad Del Carmen,Mexico
1790,Nuevo Casas Grandes Airport,Nuevo Casas Grandes,Mexico
1791,Chilpancingo Airport,Chilpancingo,Mexico
1792,Bachigualato Federal International Airport,Culiacan,Mexico
1793,Chetumal International Airport,Chetumal,Mexico
1794,Ciudad Obregón International Airport,Ciudad Obregon,Mexico
1795,Ingeniero Alberto Acuña Ongay International Airport,Campeche,Mexico
1796,Abraham González International Airport,Ciudad Juarez,Mexico
1797,General Roberto Fierro Villalobos International Airport,Chihuahua,Mexico
1798,General Pedro Jose Mendez International Airport,Ciudad Victoria,Mexico
1800,Cozumel International Airport,Cozumel,Mexico
1801,General Guadalupe Victoria International Airport,Durango,Mexico
1802,Amado Nervo National Airport,Tepic,Mexico
1803,Ensenada Airport,Ensenada,Mexico
1804,Don Miguel Hidalgo Y Costilla International Airport,Guadalajara,Mexico
1805,General José María Yáñez International Airport,Guaymas,Mexico
1806,Tehuacan Airport,Tehuacan,Mexico
1807,General Ignacio P. Garcia International Airport,Hermosillo,Mexico
1808,Licenciado Miguel de la Madrid Airport,Colima,Mexico
1809,Isla Mujeres Airport,Isla Mujeres,Mexico
1810,Plan De Guadalupe International Airport,Saltillo,Mexico
1811,Ixtepec Airport,Iztepec,Mexico
1813,Lázaro Cárdenas Airport,Lazard Cardenas,Mexico
1814,Valle del Fuerte International Airport,Los Mochis,Mexico
1815,Del Bajío International Airport,Del Bajio,Mexico
1816,Manuel Márquez de León International Airport,La Paz,Mexico
1817,Loreto International Airport,Loreto,Mexico
1818,General Servando Canales International Airport,Matamoros,Mexico
1819,Licenciado Manuel Crescencio Rejon Int Airport,Merida,Mexico
1820,General Rodolfo Sánchez Taboada International Airport,Mexicali,Mexico
1821,General Francisco J. Mujica International Airport,Morelia,Mexico
1822,Minatitlán/Coatzacoalcos National Airport,Minatitlan,Mexico
1823,Monclova International Airport,Monclova,Mexico
1824,Licenciado Benito Juarez International Airport,Mexico City,Mexico
1825,General Mariano Escobedo International Airport,Monterrey,Mexico
1826,General Rafael Buelna International Airport,Mazatlan,Mexico
1827,Nogales International Airport,Nogales,Mexico
1828,Quetzalcóatl International Airport,Nuevo Laredo,Mexico
1829,Xoxocotlán International Airport,Oaxaca,Mexico
1830,El Tajín National Airport,Poza Rico,Mexico
1831,Hermanos Serdán International Airport,Puebla,Mexico
1832,Ingeniero Juan Guillermo Villasana Airport,Pachuca,Mexico
1833,Puerto Peñasco International Airport,Punta Penasco,Mexico
1834,Piedras Negras International Airport,Piedras Negras,Mexico
1835,Licenciado y General Ignacio Lopez Rayon Airport,Uruapan,Mexico
1836,Licenciado Gustavo Díaz Ordaz International Airport,Puerto Vallarta,Mexico
1837,Puerto Escondido International Airport,Puerto Escondido,Mexico
1838,Querétaro Intercontinental Airport,Queretaro,Mexico
1839,General Lucio Blanco International Airport,Reynosa,Mexico
1840,Los Cabos International Airport,San Jose Del Cabo,Mexico
1841,San Felipe International Airport,San Filipe,Mexico
1842,Ponciano Arriaga International Airport,San Luis Potosi,Mexico
1843,Tlaxcala Airport,Tlaxcala,Mexico
1844,Terán Air Base,Tuxtla Gutierrez,Mexico
1845,Francisco Sarabia International Airport,Torreon,Mexico
1846,Angel Albino Corzo International Airport,Tuxtla Gutierrez,Mexico
1847,General Abelardo L. Rodríguez International Airport,Tijuana,Mexico
1848,General Francisco Javier Mina International Airport,Tampico,Mexico
1849,Tamuin Airport,Tamuin,Mexico
1850,Licenciado Adolfo Lopez Mateos International Airport,Toluca,Mexico
1851,Tapachula International Airport,Tapachula,Mexico
1852,Cancún International Airport,Cancun,Mexico
1853,Carlos Rovirosa Pérez International Airport,Villahermosa,Mexico
1854,General Heriberto Jara International Airport,Vera Cruz,Mexico
1855,General Leobardo C. Ruiz International Airport,Zacatecas,Mexico
1856,Ixtapa Zihuatanejo International Airport,Zihuatanejo,Mexico
1857,Zamora Airport,Zamora,Mexico
1858,Playa De Oro International Airport,Manzanillo,Mexico
1859,Zapopan Airport,Zapopan,Mexico
1860,Bluefields Airport,Bluefields,Nicaragua
1861,Los Brasiles Airport,Los Brasiles,Nicaragua
1862,Leon (Fanor Urroz) Airport,Leon,Nicaragua
1863,Augusto C. Sandino (Managua) International Airport,Managua,Nicaragua
